Reduced fees and returners,"If a taught student needs their fee reducing this must be calculated manually. Schools must notify the Student Fees team for this to happen.
Banner?will charge 100% of the fee for the academic session by default. If the student shouldn＊t be paying?the full tuition fee a manual reduction is required. You can request waivers by Form 21 and reductions using a Form R. A Form Z can be used to cancel a fee if it is paid for by block-funding.
It is the responsibility of the School/Faculty to identify when a reduction is required, Student Fees will not prompt you to submit a form. Student Fees are happy to provide guidance - please email UGfees@leeds.ac.uk or PGfees@leeds.ac.uk or call ext. 36700 for support.
Processes may change, refer to this page or the Student Fees team before completing your form or informing a student of the process.
FA1 form?每 Covering fees (Fee Waivers)
An FA1 form is used when the required tuition fee is charged but all or part of the tuition fee is paid from a University account. SAP account details need to be provided to with sufficient funds to cover the tuition fees. An FA1?should be used in the following circumstances:

Reduce/waive fees due to an appeal, complaint, mitigating circumstances
	This may be a decision taken by the School or by the central Student Cases team. In either case, a reduction in tuition fees needs to be covered from a SAP account. When completing the FA1 form you must use GL code 56042 for Fee Waivers. 
Scholarship or bursary
	If a student is receiving a tuition fee scholarship or bursary the SAP account details must be provided.

More information about completing an FA1 form?can be found our page Tuition Fee Scholarships and awards.?
Form R 每 Reducing fees
Download the Form R??UG template or PG template
A Form R is used to reduce the tuition fee charged. When a fee is reduced using a Form R financial support, HESA data and funding to Schools will be affected. Fee reductions cannot be reversed.

Re-sitting internally or returning from temporary leave
Students can be allowed to resit their studies internally or return from temporary leave part-way through a year. Students must be charged for the time that they are studying. The charging principles vary to reflect student funding eligibility.

Undergraduate Home/EU
	UG Home/EU students will be charged for the term they will be registering for not the credits they will be taking. This is in line with the Student Finance charging policy (100% for three terms, 75% for term 2 and 3 and 50% for term 3 only).
Undergraduate Overseas and all Taught postgraduate students
	UG Overseas and all Taught postgraduate students will be charged for the months they are taking or credits they are studying, depending which is cheaper.

Returning students cannot be charged less than the full value of their programme. Reductions and waivers should be provided by Form 21.
One year programmes?(eg FT Masters) are not fixed at entry. Students who return in a different session will be charged at the current rate for their programme in the year in which they return. ??
Reduced Credits due to Accreditation of Prior Learning
Students who have brought with them credits from a previous course are entitled to a reduced fee in line with their offer letter, this can be requested by completing a Form R.
If you reduce a fee using Form R, this may have an impact on a student's entitlement to University of Leeds and/or external funding.
You must advise each student to contact the Student Funding team so that they understand the financial impact of registering with reduced fees - funding@leeds.ac.uk
Information for students about tuition fee liability can be found on our student pages: http://students.leeds.ac.uk/info/10210/paying_fees_and_charges/608/tuition_fee_liability
Form Z 每 Cancelling fees
Download?the Form Z template
A Form Z is used to cancel a tuition fee in full. If a fee is cancelled using a Form Z financial support, HESA reporting and funding to Schools will be affected, so a fee can＊t subsequently be charged. Multi-lists are accepted.
A Form Z should be only used in the following circumstance:

Externally block funded programmes (eg. LETB, HEEYH)
	If your students receive funding in blocks from an external source, such as NHS funding via the LETB or HEEYH scheme

Authorisation and submission
Forms should be submitted before registration but after the general student record in Banner has been created. Forms received before the student has a Banner record will be rejected.
Faculties or Schools may be requested to cover the cost of maintenance and bursary overpayments caused as a direct result of late Form submission.

Form 21, Form R and Form Z must be approved by an authorised signatory. Approval from an authorised signatory by email is recommended, but approval and the correct completed spreadsheet must be in the same email. This supports us when the documents are audited. More information about authorised signatories can be found at?http://ses.leeds.ac.uk/info/21710/funding_and_awards/1135/authorised_signatories
Completed and approved form 21's?should be sent to form21@leeds.ac.uk and all other completed?spreadsheets should be sent by email to either?UGfees@leeds.ac.uk?or PGfees@leeds.ac.uk.?
"
Equality and inclusion,"Inclusiveness is one of the core University values. This framework explains how we will incorporate inclusiveness throughout our cultures, business and day-to-day organisational practice.
The equality and inclusion framework, on the Equality Policy Unit website, provides information about how equality and inclusiveness are integral to our culture."
Language attainment guidelines for study or work abroad,"Students studying or working abroad as part of their programme need to have a level of competence in the language in which they will be working. Guidelines are provided for schools.
Guidelines have been developed and approved by the Standing Group on Study Abroad.
 "
Placement and study abroad - student support,"Students on placements or studying abroad continue to be Leeds students and we continue to provide support to them. Some aspects of support may differ from that provided in Leeds.
The policy on placement and study abroad support (PDF) outlines the expectations of staff and students in relation to periods of study abroad or placements."
Placement leaders handbook ,"The Sub Group for Placement and Internships has developed a guide to support you in your role as a Placement Leader, Placement Year Academic Tutor or Placement Administrator.
The purpose of this guide (DOC) is to provide you with easy access to University-wide documents and guidance which have been developed to support the placement process.?
 "
Creating new exchanges,"If you are thinking about setting up a new exchange for study abroad, please contact the Study Abroad Office and complete a proposal for a new study abroad agreement.
How to set up a new exchange
If you would like to set up a new exchange for study abroad, please contact the Study Abroad Office (SAO) before completing any documentation. The SAO?will give you advice on what information you will need and discuss the general suitability of the proposed partner. This includes consideration about whether the link is likely to be reciprocal as all exchanges are based on one student in for one out.
For further information, please contact?Ben Oldham?(Study Abroad Manager).
Process after contacting the Study Abroad Office?
The proposer?must complete a?proposal for a new study abroad agreement and a partner report before a new study abroad partner can be approved.
If the university is an existing partner, a partner report is not necessary. A partner report can be completed by the proposed partner however this should be checked and, if necessary, added to by the proposing school. A site visit is recommended before a new agreement is created although this is at the discretion of the proposing school.
If you are considering language preparation content for a new proposal then please refer to the Language Attainment Guidelines.

The completed proposal documents for a new student exchange agreement should be submitted in the first instance to the relevant School Taught Student Education Committee (STSEC) and then to the Study Abroad Programme Approval Group (SAPAG).
The STSEC will consider the proposal with regard to:?
	a)?the academic coherence of the programme;?
	b)?the linguistic preparedness of outgoing students;?
	c)?the likelihood of student demand in both directions such that the exchange will be balanced;?
	d)?the suitability of the partner institution, including national and international ranking and professional accreditations, where relevant;?
	e) the student support arrangements, as described in the partner report;?
	f)?if consideration has been given to creating partnerships with existing partners
The SAPAG will review the recommendation of the STSEC and also consider the wider institutional strategic fit. SAPAG decisions will be communicated to the proposer and the relevant STSEC. SAPAG has a meeting schedule to consider proposals but can also approve proposals outside of the meetings to expedite the process as appropriate. SAPAG is chaired by a Pro-Dean for International and includes Study Abroad office staff and School Study Abroad Coordinators.

No arrangement can be implemented unless it has been approved in full by the Study Abroad Programme Approval Group. The Study Abroad office will then negotiate the formal legal agreement and arrange for the partnership to be advertised to students.
"
Study abroad coordinators,"If you are a study abroad coordinator or administrator, you can find more information on the Study Abroad Office organisation on Minerva and also in the Study Abroad Network in Microsoft Teams.
Study abroad coordinators and administrators
Each school has a study abroad coordinator who works closely with the Study Abroad Office (SAO) to support students applying for, and taking part in, a study abroad year.

Study abroad coordinators and administrators can view information about all our partner universities abroad, including credit loads and course catalogue links, in the SAO organisation on Minerva.
How to enrol in the SAO Minerva organisation:
?

Log in to Minerva via this link, which will take you to our Welcome page.?
Follow the brief enrolment instructions provided on that page.
The organisation will be listed under your 'organisations', which you can view by clicking on the 'teach' tab

You can also request to join our Study Abroad Network in Microsoft Teams. This is where you can access information relating to your students who will be studying abroad. Please contact us to request access.

New members of staff
If you are a new study abroad coordinator or administrator, please get in touch?so that we can arrange for you to meet with key staff in the Study Abroad Office and answer any questions you may have.

?

Transition to and from Study Abroad
Read more about students' experiences of the transition to and from study abroad.
"
Coordinator workshops,"A series of workshops for study abroad coordinators and administrators is run throughout the year with different themes.
Workshops for study abroad coordinators/administrators
Throughout the academic year, we run a series of events specifically for study abroad coordinators and administrators. These workshops are themed to coincide with the study abroad calendar of events and student activity. Invitations to the workshops are sent out via Outlook so that you can add the dates and locations to your calendar.?
New members of staff
If you are a new member of staff and believe that you have missed out on an invitation, please get in touch?with the Study Abroad Office and we will send you the details.
"
Leeds International Summer School,"Since 2010 Leeds International Summer School (LISS) has attracted students from all over the world to take part in an academic, cultural and social programme lasting two 每 four weeks in July. ?The credit-bearing programme is diverse and attracts students from all over the world.?
Watch the recording of an?online information session for staff to find out more about how you can get involved.

Following incremental growth over 8 years, LISS 2019 saw a tripling of student numbers to almost 300. This growth reflects the deliberate positioning of LISS as an important contributor to the University＊s International Strategy and Global Opportunities Plan. ??
We are looking for academic staff and Postgraduate Researchers who are interested in delivering teaching as part of LISS. Find out more a below, or contact the LISS Manager, Lisa Beare.?Full details of the programme are on the LISS website.?
Why LISS matters?
Our aim is to continue to grow the International Summer School based on the following benefits.??
Institutional ?

The summer school has potential for income generation to re-invest in student mobility, for example widening participation scholarships and outgoing summer school bursaries. ? ?
LISS is offered on exchange (i.e. with a tuition fee waiver) for key strategic partners which is offset against our full-year outgoing students enabling more of our students to be mobile. We are unable to meet current demand for our outgoing students as we do not attract sufficient incoming students from the destinations our students prefer. The summer school therefore plays a significant role in maintaining outgoing opportunities at these institutions. ? ?
LISS is also used to target markets for PGT/PGR recruitment. According to the end of LISS survey, 80% of LISS students seek information about further study at Leeds. ? ?
Hosting an international summer school supports our international profile and can often be an offer to emerging partners without the need to set up full student exchanges. Arrangements are made for group bookings at strategic partners for example where traditional exchange is unlikely to be viable. ??

School and Faculty ?
LISS supports the international strategy of Schools and Faculties and delivering teaching as part of the summer school offers the following benefits: ?

Showcase teaching and research strengths to prospective Postgraduate students. ??
Provide Professional Development for staff and PGR through tailoring and delivering existing modules or building new 10 credit modules. ??
Pilot new disciplinary or interdisciplinary modules. ? ?
Transferability of content and methods to support internationalisation of the curriculum. ?
Contribution to ensuring outgoing places continue to be available to students through the exchange agreements and outgoing summer schools. ??
Provides an infrastructure to accommodate school or faculty requests to develop bespoke summer schools. ?

Individual Benefit - for LISS module leaders ?

Opportunity for staff and Postgraduate Researchers to deliver intensive teaching to an international audience?
Staff are financially rewarded ? ?
Staff enjoy the overall LISS experience, leading modules and teaching LISS students?

Module details?
LISS modules usually:?

are level 1 and worth 10 credits?
are delivered over 2 weeks (either block one or block two of the summer school) ?
involve a minimum of 24 hours of seminar-style teaching over 8 days (usually mornings 9.30am 每 12.30pm) ?
include a full day field trip led by the module leader/teaching assistant?
have small class sizes 每 minimum of 9 and maximum of 30 ??
are taught above workload? ?
can be taught by one module leader, or by two or more members of staff. NB Postgraduate Researchers are encouraged to lead modules and/or deliver teaching if they have teaching experience.?
have coursework assessments e.g. written work, presentations, reflective logs, portfolios, reports (there is no exam period)?

Details of current LISS modules are available on the LISS website and you can download the LISS Module Tutor job role?and the LISS Module Teaching Assistant role. Please contact the LISS Team if your School or Faculty is seeking to develop an international summer opportunity that does not fit the standard LISS model outlined above e.g. upper level module, non-credit bearing, longer/shorter than two weeks etc. It may still be possible to take advantage of the infrastructure of LISS e.g. admissions, programming, student experience etc. for these models.?
Staff profiles


Stacey Mottershaw, Teaching Fellow

?


I joined the Leeds International Summer School (LISS) as module leader for 'Applied Ethics for Business and Society' in 2019. It was nice to have the opportunity to create a new module on a topic that I was particularly interested in, and my experience of submitting a new module to our PAG gave me an insight into the quality assurance process undertaken at Leeds.
I thoroughly enjoyed teaching the module and although I was initially concerned about teaching a 100% international cohort, I was pleasantly surprised at the high academic calibre and English language skills of my students. Teaching the module intensively over two weeks of the summer was a novel and rewarding experience; in addition to giving me space to try out new techniques with a smaller class, it allowed me to fully focus on and engage with the module and my students without the distractions of a usual semester.
The timing of the module also allowed me to reflect on my teaching ahead of the following academic year. In terms of my own professional development, I used my experience of leading the module in my PRiSE application, following which I was successfully awarded Fellowship of the Higher Education Academy (FHEA, Advance HE) in December 2019.
In summary, I have absolutely no hesitation in recommending LISS to colleagues - the team have been a pleasure to work with and I thoroughly enjoyed delivering a module as part of this key international activity.

Ian Sapiro, Associate Professor

?


I＊ve been teaching a course on ＆Music in Film＊ as part of LISS for the past four years, and each year has brought something different. The students come from a wide range of backgrounds 每 geographic, cultural and educational, not to mention (specifically for my module) musical and filmic 每 and this usually leads to a rich and varied classroom experience.
I have learned to think differently about my points of reference and what might be considered general knowledge in my subject area, and I think this has been of benefit to me when developing and delivering my teaching to the students on our undergraduate Music degree courses.
I have always found the students on LISS to be engaging and enthusiastic, and the experience of teaching them to be fulfilling and (believe it or not) fun. Similarly, the LISS team is very easy to work with, well organised, excellent communicators and very supportive of the academics delivering the modules.

Timeline for module leaders?
September 每 October?

LISS Team to liaise with Schools and academic colleagues to confirm delivery of new and existing modules ?

September - January?

Submit proposals for new modules / module amendments to relevant School Taught Student Education Committee or Programme Approval Group (PAG) for approval ??

January - March?

Submit proposals for new modules and major module amendments to Cross Institution PAG for approval and report minor amendments to Cross Institution Taught Student Education Committee ?
Confirm preferred module field trip(s) with LISS team ?

May?

Update module information on the LISS Minerva organisation ?

June?

Receive details of students enrolled on your module and write an e-mail to introduce yourself, the module and the pre-arrival readings/tasks ?

July?

Deliver the module and return hard copy feedback forms at the end of teaching ?

August?

Marking and moderation deadline is two weeks after the end of LISS and the assessment board is usually held in late August?

"
What the Careers Centre offers,"The Careers Centre runs events and offers a wide range of resources including a database of employment opportunities to help students prepare for the job market.
What is the Careers Centre?
The Careers Centre supports students to help them decide, plan and compete in a global graduate job market. Staff can find out more about what they do through a dedicated area of their website.
At the Careers Centre
To support students in making decisions and developing the skills to make successful applications to work or for further study, the Careers Centre offers:
 

drop in sessions
guidance appointments
mock interviews
eGuidance.

The resources room has up-to-date information to support students in making decisions, planning their future and competing with other graduates in the labour market.
In faculty
The Careers Centre offers a range of support in faculty including:?
 

Careers Modules
drop-in sessions
bespoke information and advice sessions
information and resources to support faculty staff.

Events
The Careers Centre organises a range of events including fairs, workshops and presentations run by graduate employers and careers staff. These events aim to help students to make career decisions and network with graduate employers and further study providers.
Exclusive vacancy database
The Careers Centre has an exclusive database of employment opportunities for University of Leeds students and graduates.?
"
Work-related experience,"There are many work experience opportunities available to University of Leeds students, including 12-month placements, summer internships and insight days.?
12-month placements
All students at the University of Leeds are able to undertake a placement year as part of their degree. Students take the work placement after year 2, and extend their degree to 4 years. For more information, visit the Careers Centre website. 
Summer internships and Insight Days
Many of the organisations that offer 12-month placements also offer summer internships (these usually last 8-12 weeks) as well as insight days (1-2 days often in the Christmas or Easter holidays), which allow students to gain an insight into a sector, organisation and role. For more information, visit the Careers Centre website.
The Leeds Internship Programme?
The Leeds Internship Programme offers first, second and penultimate year undergraduates a variety of paid 12 month placements and 8-12 week summer internships. Host organisations include local Small and Medium sized Enterprises (SMEs), charities and University of Leeds departments as well as exclusive opportunities in the local offices of large organisations such as Unilever. More information is available on the Careers Centre website, and students can register their interest in the Leeds Internship Programme by completing this?online form.
Graduate internships
Graduate internships (also via the Leeds Internship Programme) are paid 10-12 week projects for recent graduates in Leeds and the surrounding area. Projects start in the autumn. More information is available on the Careers Centre website, and students can register their interest in the Leeds Internship Programme by completing this?online form.
How the Careers Centre can help
The Careers Centre can help with the application process including advice on writing CVs, covering letters and applications as well as hints and tips for interviews and assessment centres. University of Leeds students are highly sought-after, and many large recruiters advertise with us. Students can access vacancies on the?Careers Centre＊s exclusive online database.
"
Enterprise,"The Spark team and Enterprise Centre offer support and resources for students who are thinking about setting up their own businesses.
Spark
Around a third of students intend to start their own business. The Spark team, based in the Careers Centre, offers advice and in some cases, funding for business start-ups.
The dedicated Spark team offers:

workshops covering all areas of business start-up
one-to-one business advice
Enterprise Scholarships
incubation uniform start-up businesses
an annual business plan competition
boot camps
access to funding

Enterprise Centre
The Enterprise Centre is the focal point for enterprise education and research on campus. The Enterprise Centre offers:

Enterprise modules at undergraduate and postgraduate level 
Postgraduate MSc Enterprise 
The Year in Enterprise programme 
Undergraduate ＆with enterprise＊ programme 

?"
Joblink,"If students are looking for extra money or experience, Joblink gives them access to a database of temporary or part time jobs.
What is Joblink?
Joblink is a service provided by Leeds University Union that students can use to find part time or temporary jobs.
Joblink can be accessed either through the Joblink office based in Leeds University Union or via its online presence.
The online vacancy database allows students to search for jobs by hours, pay, location or type and includes jobs from with the Union, the University and across Leeds and West Yorkshire."
Employability network,"The Employability Network provides an opportunity for colleagues engaged in employability activity across the University of Leeds to meet to discuss successes and challenges, identify areas for collaboration, receive information from relevant University colleagues and to provide information and raise issues and business for the Employability Strategy Group.
The format is informal, usually over lunchtime and typically involving a couple of short presentations from staff, students or external speakers followed by open discussion. Additional events are offered throughout the year to members such as training and opportunities to meet graduate employers. There is a SharePoint site which provides a virtual space for members of the University's Employability Network, or any staff with an interest in student and graduate employability, to share information, updates, employer and employability news, discuss 每 and get support with 每 issues, ideas or initiatives.
Anyone interested in joining the network - or in finding the date and time of the next meeting - should contact Kate Wortley: K.Wortley@leeds.ac.uk
 "
Placement leaders forum,"Colleagues who are involved in organising student placements are encouraged to join this forum to share information and ideas.
The Placement Leaders Forum provides an opportunity for colleagues engaged in work placement activity across the University of Leeds to meet to discuss successes and challenges, identify areas for collaboration, receive information from relevant University committees and to provide information and raise issues and business for the Sub Group for Placements and Internships.
Meetings take place twice a year in the autumn and spring following the meeting of the Sub Group for Placements and Internships. Participants will join a mailing list and receive relevant communications about work placement related events or developments.
To join the Forum and mailing list please contact:
Emily Timson
Assistant Head of Student Placement
Email: E.J.Timson@leeds.ac.uk
"
Key Teams for International Students,"Who does what? Find out about some teams you can refer to, consult and work with, to help make sure international students have the best experience.?
International Student Office

Leads the delivery of international welcome services (in collaboration with other teams), supporting students who have accepted their offer, to prepare, have a warm welcome on arrival, settle in and build their communities and sense of belonging?
Provides a referral point for more complex enquiries related to being a student from outside the UK, working with International Office and other teams as needed to resolve issues
Supports inclusive and targeted communications for international students in collaboration with Student Communications, International Office and other teams?
Works with colleagues across the University and LUU and with students, to enhance the international student experience, including managing the gift-funded Global Community Enhancement Programme ?
Delivers activities and projects to help all students to make the most of being part of a global community at Leeds?

Contact: internationalwelcome@leeds.ac.uk or globalcommunity@leeds.ac.uk?
International Office

Supports prospective students, applicants and offer holders with finding out about Leeds and making their choice ?
Leads on pre-arrival communications for international students?
Runs the Link to Leeds Ambassadors team of current students who support international students online as they decide, prepare, arrive and settle in?
Collaborates with International Student Office and other teams on the delivery of international welcome services?
Has regional specialists who can be consulted about cultural and country/region factors related to student experience?
Manages relationships and supports sponsors and sponsored students. ?

Contact: internationaloffice@leeds.ac.uk?
Student Visa Advice

Provides specialist student visa advice and information to international students before they arrive and during their time at Leeds, including helping them apply for the correct visa, resolve any issues related to their visa, and understand their responsibilities as a visa holder ?
Ensures student visa advice and information on university websites is kept up to date?
Can be consulted by staff with questions related to student visas and immigration?
The only team who are authorised to give individual students and their families advice about their immigration status.

Contact: StudentVisaAdvice@leeds.ac.uk?
Student Information Service

Student Information Service can respond to common international travel, arrival and settling in queries, and can make referrals to relevant specialist teams.

Contact: StudentInfo@leeds.ac.uk
Student Services Counter Team

Manages the process and support for students to collect their Biometric Residence Permit from the University ?
Helps students open a UK bank account, providing online bank introduction letters, liaising with local banks, and supporting any students with difficulties opening an account.?
Supports the police registration process, liaising with West Yorkshire Police and maintaining guidance for students?
Also manages processes for all students such as registration, ID check and student cards, and general services that are useful for international students such as registration certificates, transcripts and statements.?

Contact: studentinfo@leeds.ac.uk?
Student Immigration Compliance Team

Responsible for ensuring that all University policies and processes are complaint with UK Home Office UK Visas & Immigration rules and guidance.? Without a UKVI licence,?the University is?unable to recruit and retain international students who need a visa for the UK.?
Responsible for assigning CAS for taught students who wish to extend their stay?
Responsible for approving Change of Programme requests for visa-sponsored students.

Contact for staff: pbs@leeds.ac.uk
Study Abroad Office

Manage the relationship with 300+ exchange partner institutions?
Responsible for the admissions of Incoming Study Abroad (ISA) and Leeds International Summer School (LISS) students on exchange and fee-paying short-term programmes?
Supports prospective ISA and LISS applicants preparing for their Leeds programme?
Collaborates with International Student Office and academic teaching schools to organise welcome and orientation?
Organises and facilitates the LISS programme each July?

Contact: ISA: studyabroad@leeds.ac.uk or LISS: summer@leeds.ac.uk ?
International Pathways Centre
There are three main international pathways into University of Leeds managed by the International Pathways Centre (IPC). The first is internal, the latter two are external: ?

University of Leeds International Foundation Year ?
NCUK (Northern Consortium UK) ??
Study Group＊s Leeds International Study Centre (LISC)?

University of Leeds International Foundation Year is parented by the IPC and constitutes year 0 of the University＊s own ＆Degree with Integrated International Foundation Year＊ variants. Modules within the IFY are written and taught by Schools across the University. ?
Contact for IFY student support: IFYProgramme@leeds.ac.uk ?
Contact for IFY admissions: IFYAdmissions@leeds.ac.uk ?

NCUK (the commercial arm of an educational charity of which Leeds is a founder member) operates many centres worldwide, providing students with an option for Foundation, International Year One or Masters Preparation study in their home country before beginning their journey at Leeds. The IPC manages the relationship with NCUK and works with Schools providing support for NCUK students applying to a selected number of University of Leeds programmes within UG and PG.?

Contact: ncuk@leeds.ac.uk ??

Study Group＊s Leeds International Study Centre (LISC). Study Group are a private education provider working with universities globally. LISC is a Leeds based centre for the Universities of Leeds and Leeds Beckett (host university) offering tailored Foundation and International Year One programmes. The IPC manages the relationship with Leeds International Study Centre (LISC) based in Headingley and facilitates admission to selected University of Leeds UG programmes. ?

Contact: studygroup@leeds.ac.uk ??
Language Centre and Language Zone

Language Centre delivers pre-sessional English programmes before students start a main course?

Contact: langc@leeds.ac.uk ?

Language Zone offers language learning resources and advice and runs activities for current students to practise English and other languages and meet peers for language/cultural exchange ?

Contact: languagezone@leeds.ac.uk?
Skills@Library

Runs Academic English courses and workshops and individual consultation for current students and postgraduate researchers as part of a programme of study skills workshops and webinars, and one-to-one support?

Contact: skills@library.leeds.ac.uk?
?
"
Global Community,"Global Community encourages students to find out about different cultures, travel and international issues. They can get involved as Intercultural Ambassadors or by staying in Ellerslie Global Residence.
Global Community opportunities
Global Community opportunities help UK and international students feel part of one global community and develop cultural awareness and other skills valued by employers. As well as supporting staff to develop intercultural opportunities, they help to connect students from different cultural backgrounds through activities such as:

 

Global Cafe
Intercultural Ambassadors Programme?
Ellerslie Global Residence
Language and cultural exchange.

Intercultural Ambassadors Programme

Each year a group of UK and international students become University of Leeds Intercultural Ambassadors. The volunteer programme is an opportunity for students to increase cultural awareness and intercultural communication skills, make new friends and get experience of multicultural teamwork, project development and activity management. The ambassadors will receive training and mentor support to develop and run intercultural projects which connect students from different backgrounds and help them to get the most out of being part of our global community.
Students who wish to take part in the Programme can find out how to apply on the Global Community webpages.
Ellerslie Global Residence
Ellerslie Global Residence, on the University campus, offers an opportunity for undergraduates from the UK and all over the world to live together in a friendly, lively and comfortable environment and share the experience of university life.?Ellerslie Global Residence is an intercultural home for 50% UK and 50% international students who benefit from a uniquely diverse social life and the opportunity to broaden their horizons, develop cross-cultural skills and build a global network of friends. For students interested in practising different languages, the diversity of students in Ellerslie also offers the possibility of language exchange opportunities.
Students can apply to live in Ellerslie Global Residence and find more information on the University accommodation website.
Find a language exchange partner
If students are interested in developing language skills, by?practising and?interacting with native speakers of many different languages on campus, there are a range of opportunities available. More details can be found on the Global Community webpages.
Students can also meet at Global Cafe or in the Language Zone where they can access multi-media materials including films and TV to watch with their language exchange partners in the language they＊re interested in.
Cultural exchange visits
The University has teamed up with HOST UK to link international students and British families for a weekend of cultural exchange. International students who want to visit a British home or British students whose family would like to host an international student for a visit can find out more about how to apply on the Global Community webpages."
Global Cafe and Online Socials,"We encourage students of all nationalities, including UK students, to join our Global Community?socials to enjoy conversations, meet friends from around the world and take part in fun activities.
Global Cafe?
Global Cafe (in-person)?takes place every Monday (except bank holidays) from 5.30pm 每?7.30pm. It＊s a?great place for UK and international students to relax with friends and meet new people whilst enjoying free refreshments. It takes place in LUU Common Ground.
More information can be found on the Global Community webpages?and Leeds University Union events webpage.
Global Community Online Socials
Our online socials take place every week, including the days when the University is closed.
Global Caf谷 (online)?每 every Monday 6pm 每 7.30pm?
Enjoy informal chats?and take part in fun games?
Global Leeds?每 every Wednesday 2pm 每 3pm
Discover how to make the most of studying at a global university through games, quizzes and more?
Global Saturdays?每 every Saturday 11am 每 12pm?
Connect with others from around the world for cultural exchange and conversation?
How to take part?
Online socials take place in the Global Community Microsoft TEAMS?space -?join now using your @leeds.ac.uk email?or use the join code?loq5x6z?by?selecting ＆join or create a TEAM＊ at the bottom of your TEAMS?list.?
?
"
About the Leeds Curriculum,"The Leeds Curriculum aims to produce graduates who stand out as a result of the knowledge, skills and attributes they have gained. ?
Their ability to talk clearly and confidently about their experiences also makes our graduates distinctive and is complemented by co-curricular learning opportunities through LeedsforLife.?
The Leeds Curriculum

The curriculum has three key components:?

Research-Based Learning
Joining an academic community, a student begins their undergraduate journey learning about the latest research. As they progress through their programme, they will develop skills and knowledge and ultimately experience research first-hand in their final year project, supervised by staff who themselves are engaged in cutting-edge research.
Programme threads
Each programme incorporates the following:?? 

Employability - raising awareness of key attributes and skills and developing these to help our students realise their career aspirations. 
Global and cultural insight - there will be opportunities to engage with and value multiple perspectives (social, geographic, political, economic, legal, environmental and technological) and acknowledging and appreciating diversity. 
Ethics and responsibility - engaging with ethical issues to demonstrate how to act responsibly and professionally and to make informed decisions. 

Broadening through Discovery Themes
Broadening enables students to explore key questions that will affect their future lives. It develops intellectual flexibility and enables them to compete and contribute in the workplace and wider society and have further opportunities to enrich their education, for example, through study abroad and work experience. Students can broaden their intellectual horizons within or outside their degree programme(s) by studying modules within ten interdisciplinary Discovery Themes.
Discovery Themes
There are hundreds of?discovery modules available. These are grouped into Discovery Themes and associated sub-themes, bringing together related teaching from across the University. Students will benefit from this coordinated and structured means to broadening their learning. They can choose modules which might explore a specific subject, issue or skill within or beyond their chosen subject. The Leeds for Life website gives further guidance to students.

 
 
"
